Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,6971379033,9715761650,10249767311,12154835708,15633856787,18190410821,20203572960,20564485419,20550582747,19998156214
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,52381006892,65266452081,88538610805,70307166934,81699526881,1.09437E+11,1.24998E+11,1.33402E+11,1.37244E+11,87219300385
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,7.47907E+11,8.54427E+11,1.05564E+12,9.28627E+11,1.14861E+12,1.39841E+12,1.54689E+12,1.57638E+12,1.46755E+12,1.35062E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,3.3628E+11,3.89186E+11,4.32052E+11,4.01759E+11,3.92275E+11,4.31685E+11,4.09402E+11,4.30191E+11,4.42585E+11,3.81971E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,20982986344,33050343783,48852482960,44291490421,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10562800000,11176100000,11861900000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298
